date-time,pm2_5,wind-east,wind-north,temperature,pressure
2021-01-01 00:00:00,26.68,-0.984808,-0.173648,0.9,996.4
2021-01-01 01:00:00,35.09,-1.985092,0.243739,1.0,996.5
2021-01-01 02:00:00,43.55,0.999391,-0.034899,1.0,996.6
2021-01-01 03:00:00,46.44,-1.963254,-0.381618,0.9,996.5
2021-01-01 04:00:00,41.24,-2.0,-0.0,0.8,996.6
2021-01-01 05:00:00,45.23,-0.891007,-0.45399,0.6,996.7
2021-01-01 06:00:00,43.71,0.121869,-0.992546,0.5,997.1
2021-01-01 07:00:00,40.59,-0.992546,-0.121869,0.3,997.2
2021-01-01 08:00:00,40.25,-0.224951,-0.97437,0.3,997.3
2021-01-01 09:00:00,41.26,0.415823,-1.956295,-0.1,997.7
2021-01-01 10:00:00,38.76,-0.45399,-0.891007,-0.4,997.8
2021-01-01 11:00:00,27.91,0.813473,-1.827091,-0.6,997.6
2021-01-01 12:00:00,23.68,1.454429,-2.623859,-0.7,997.7
2021-01-01 13:00:00,21.97,0.347296,-1.969616,-0.5,997.9
2021-01-01 14:00:00,22.36,0.976704,-2.836556,-1.0,998.0
2021-01-01 15:00:00,19.83,0.876742,-1.797588,-1.0,998.2
2021-01-01 16:00:00,18.64,2.007392,-2.229434,-1.1,998.2
2021-01-01 17:00:00,19.54,0.826912,-2.883785,-0.9,998.8
2021-01-01 18:00:00,25.31,1.0,-1.732051,-0.9,998.9
2021-01-01 19:00:00,26.18,0.877115,-2.868914,-0.8,999.2
2021-01-01 20:00:00,27.04,0.449902,-1.94874,-0.5,999.5
2021-01-01 21:00:00,28.16,0.243739,-1.985092,-0.3,1000.0
2021-01-01 22:00:00,24.89,0.365608,-2.977638,-0.3,1000.0
2021-01-01 23:00:00,51.41,-0.309017,-0.951057,-0.2,1000.8
2021-01-02 00:00:00,56.41,-0.258819,-0.965926,-0.2,1001.1
2021-01-02 01:00:00,51.87,0.0,-1.0,-0.1,1001.7
2021-01-02 02:00:00,54.14,0.0,-2.0,-0.2,1001.8
2021-01-02 03:00:00,51.77,0.190809,-0.981627,-0.1,1001.8
2021-01-02 04:00:00,61.37,0.449902,-1.94874,-0.2,1002.1
