pm2_5,month,weekday,hour,wind-east,wind-north,temperature,pressure
26.68,1,4,0,-0.984808,-0.173648,0.9,996.4
35.09,1,4,1,-1.985092,0.243739,1.0,996.5
43.55,1,4,2,0.999391,-0.034899,1.0,996.6
46.44,1,4,3,-1.963254,-0.381618,0.9,996.5
41.24,1,4,4,-2.0,-0.0,0.8,996.6
45.23,1,4,5,-0.891007,-0.45399,0.6,996.7
43.71,1,4,6,0.121869,-0.992546,0.5,997.1
40.59,1,4,7,-0.992546,-0.121869,0.3,997.2
40.25,1,4,8,-0.224951,-0.97437,0.3,997.3
41.26,1,4,9,0.415823,-1.956295,-0.1,997.7
38.76,1,4,10,-0.45399,-0.891007,-0.4,997.8
27.91,1,4,11,0.813473,-1.827091,-0.6,997.6
23.68,1,4,12,1.454429,-2.623859,-0.7,997.7
21.97,1,4,13,0.347296,-1.969616,-0.5,997.9
22.36,1,4,14,0.976704,-2.836556,-1.0,998.0
19.83,1,4,15,0.876742,-1.797588,-1.0,998.2
18.64,1,4,16,2.007392,-2.229434,-1.1,998.2
19.54,1,4,17,0.826912,-2.883785,-0.9,998.8
25.31,1,4,18,1.0,-1.732051,-0.9,998.9
26.18,1,4,19,0.877115,-2.868914,-0.8,999.2
27.04,1,4,20,0.449902,-1.94874,-0.5,999.5
28.16,1,4,21,0.243739,-1.985092,-0.3,1000.0
24.89,1,4,22,0.365608,-2.977638,-0.3,1000.0
51.41,1,4,23,-0.309017,-0.951057,-0.2,1000.8
56.41,1,5,0,-0.258819,-0.965926,-0.2,1001.1
51.87,1,5,1,0.0,-1.0,-0.1,1001.7
54.14,1,5,2,0.0,-2.0,-0.2,1001.8
51.77,1,5,3,0.190809,-0.981627,-0.1,1001.8
61.37,1,5,4,0.449902,-1.94874,-0.2,1002.1
66.56,1,5,5,1.5,-2.598076,-0.3,1002.5
76.48,1,5,6,0.551275,-1.922523,-0.4,1002.9
70.46,1,5,7,1.312118,-1.509419,-0.6,1003.4
