pm2_5,month,weekday,hour,wind-east,wind-north,temperature,pressure,humidity,target
26.68,1,4,0,-0.984808,-0.173648,0.9,996.4,94,43.71
35.09,1,4,1,-1.985092,0.243739,1.0,996.5,92,40.59
43.55,1,4,2,0.999391,-0.034899,1.0,996.6,88,40.25
46.44,1,4,3,-1.963254,-0.381618,0.9,996.5,90,41.26
41.24,1,4,4,-2.0,-0.0,0.8,996.6,90,38.76
45.23,1,4,5,-0.891007,-0.45399,0.6,996.7,90,27.91
43.71,1,4,6,0.121869,-0.992546,0.5,997.1,90,23.68
40.59,1,4,7,-0.992546,-0.121869,0.3,997.2,91,21.97
40.25,1,4,8,-0.224951,-0.97437,0.3,997.3,91,22.36
41.26,1,4,9,0.415823,-1.956295,-0.1,997.7,92,19.83
38.76,1,4,10,-0.45399,-0.891007,-0.4,997.8,95,18.64
27.91,1,4,11,0.813473,-1.827091,-0.6,997.6,96,19.54
23.68,1,4,12,1.454429,-2.623859,-0.7,997.7,95,25.31
21.97,1,4,13,0.347296,-1.969616,-0.5,997.9,94,26.18
22.36,1,4,14,0.976704,-2.836556,-1.0,998.0,94,27.04
19.83,1,4,15,0.876742,-1.797588,-1.0,998.2,94,28.16
18.64,1,4,16,2.007392,-2.229434,-1.1,998.2,94,24.89
19.54,1,4,17,0.826912,-2.883785,-0.9,998.8,93,51.41
25.31,1,4,18,1.0,-1.732051,-0.9,998.9,94,56.41
26.18,1,4,19,0.877115,-2.868914,-0.8,999.2,92,51.87
27.04,1,4,20,0.449902,-1.94874,-0.5,999.5,92,54.14
28.16,1,4,21,0.243739,-1.985092,-0.3,1000.0,90,51.77
24.89,1,4,22,0.365608,-2.977638,-0.3,1000.0,90,61.37
51.41,1,4,23,-0.309017,-0.951057,-0.2,1000.8,91,66.56
56.41,1,5,0,-0.258819,-0.965926,-0.2,1001.1,92,76.48
51.87,1,5,1,0.0,-1.0,-0.1,1001.7,92,70.46
54.14,1,5,2,0.0,-2.0,-0.2,1001.8,93,62.31
51.77,1,5,3,0.190809,-0.981627,-0.1,1001.8,94,60.29
61.37,1,5,4,0.449902,-1.94874,-0.2,1002.1,94,59.75
66.56,1,5,5,1.5,-2.598076,-0.3,1002.5,94,50.69
76.48,1,5,6,0.551275,-1.922523,-0.4,1002.9,94,52.39
70.46,1,5,7,1.312118,-1.509419,-0.6,1003.4,95,55.62
62.31,1,5,8,0.449902,-1.94874,-0.6,1003.9,96,49.69
60.29,1,5,9,1.285575,-1.532089,-0.7,1004.5,95,43.49
59.75,1,5,10,1.677341,-1.089278,0.1,1004.6,93,39.81
50.69,1,5,11,1.891037,-0.651136,0.5,1004.0,91,39.95
52.39,1,5,12,2.718923,-1.267855,0.8,1004.0,90,39.3
55.62,1,5,13,1.658075,-1.118386,0.8,1004.2,91,46.04
49.69,1,5,14,1.999695,-0.034905,1.0,1004.6,92,48.36
43.49,1,5,15,1.999695,0.034905,1.3,1004.7,94,46.53
39.81,1,5,16,1.980536,0.278346,1.3,1004.8,96,47.26
39.95,1,5,17,2.988584,0.261467,1.5,1004.9,97,23.13
39.3,1,5,18,2.85317,-0.927051,1.6,1004.9,98,20.98
