date-time;MzWarAlNiepo-PM25-1g
01.01.2021 01:00;26.68
01.01.2021 02:00;35.09
01.01.2021 03:00;43.55
01.01.2021 04:00;46.44
01.01.2021 05:00;41.24
01.01.2021 06:00;45.23
01.01.2021 07:00;43.71
01.01.2021 08:00;40.59
01.01.2021 09:00;40.25
01.01.2021 10:00;41.26
01.01.2021 11:00;38.76
01.01.2021 12:00;27.91
01.01.2021 13:00;23.68
01.01.2021 14:00;21.97
01.01.2021 15:00;22.36
01.01.2021 16:00;19.83
01.01.2021 17:00;18.64
01.01.2021 18:00;19.54
01.01.2021 19:00;25.31
01.01.2021 20:00;26.18
01.01.2021 21:00;27.04
01.01.2021 22:00;28.16
01.01.2021 23:00;24.89
02.01.2021 00:00;26.02
02.01.2021 01:00;25.16
02.01.2021 02:00;25.32
02.01.2021 03:00;26.27
02.01.2021 04:00;27.74
02.01.2021 05:00;30.44
02.01.2021 06:00;31.98
02.01.2021 07:00;30.49
02.01.2021 08:00;32.65
02.01.2021 09:00;30.23
02.01.2021 10:00;31.37
02.01.2021 11:00;30.21
02.01.2021 12:00;30.36
02.01.2021 13:00;33.11
02.01.2021 14:00;33.26
02.01.2021 15:00;32.12
02.01.2021 16:00;34.27
02.01.2021 17:00;40.93
02.01.2021 18:00;43.97
02.01.2021 19:00;50.23
02.01.2021 20:00;54.18
02.01.2021 21:00;57.81
02.01.2021 22:00;56.85
02.01.2021 23:00;64.37
03.01.2021 00:00;63.82
03.01.2021 01:00;65.71
03.01.2021 02:00;65.49
03.01.2021 03:00;58.39
03.01.2021 04:00;55.07
03.01.2021 05:00;51.38
03.01.2021 06:00;46.52
03.01.2021 07:00;41.26
03.01.2021 08:00;39.42
03.01.2021 09:00;37.91
03.01.2021 10:00;35.35
03.01.2021 11:00;33.39
03.01.2021 12:00;32.08
03.01.2021 13:00;32.17
03.01.2021 14:00;33.34
03.01.2021 15:00;37.84
03.01.2021 16:00;40.62
03.01.2021 17:00;39.99
03.01.2021 18:00;39.93
03.01.2021 19:00;38.38
03.01.2021 20:00;33.76
03.01.2021 21:00;31.17
03.01.2021 22:00;26.43
03.01.2021 23:00;24.12
04.01.2021 00:00;24.03
04.01.2021 01:00;24.64
04.01.2021 02:00;23.94
04.01.2021 03:00;20.58
04.01.2021 04:00;20.89
04.01.2021 05:00;20.32
04.01.2021 06:00;19.24
04.01.2021 07:00;17.32
04.01.2021 08:00;19.28
04.01.2021 09:00;20.97
04.01.2021 10:00;21.89
04.01.2021 11:00;25.02
04.01.2021 12:00;26.66
04.01.2021 13:00;29.88
04.01.2021 14:00;32.76
04.01.2021 15:00;33.51
04.01.2021 16:00;29.33
04.01.2021 17:00;34.07
04.01.2021 18:00;34.12
04.01.2021 19:00;34.79
04.01.2021 20:00;38.57
04.01.2021 21:00;35.01
04.01.2021 22:00;30.58
04.01.2021 23:00;35.31
05.01.2021 00:00;35.71
05.01.2021 01:00;30.78
05.01.2021 02:00;24.65
05.01.2021 03:00;21.58
05.01.2021 04:00;19.94
05.01.2021 05:00;14.98
05.01.2021 06:00;10.33
05.01.2021 07:00;7.94
05.01.2021 08:00;7.95
05.01.2021 09:00;5.47
05.01.2021 10:00;3.09
05.01.2021 11:00;3.78
05.01.2021 12:00;5.56
05.01.2021 13:00;9.03
05.01.2021 14:00;12.32
05.01.2021 15:00;12.83
05.01.2021 16:00;9.94
05.01.2021 17:00;5.27
05.01.2021 18:00;5.32
05.01.2021 19:00;7.62
05.01.2021 20:00;9.88
05.01.2021 21:00;10.55
05.01.2021 22:00;10.82
